rank	url	creation	try	date	buildername
46	https://github.com/twny/genesis	Genesis Game Engine	https://www.loom.com/embed/5c2a8131254d4e54b85b303b6bd0fe40?sid=341ba4ce-5d83-4149-a5d4-2526afbbae71	9/30/2024	breck
47	https://infinilearn.com/	Infinilearn	https://www.loom.com/embed/0b238e3db7f541b68d94fd4014c6ce14?sid=2df914b6-0f12-407c-9ad3-ae0150c6266b	9/29/2024	breck
48	https://paulgraham.com/when.html	When To Do What You Love	https://www.loom.com/embed/9ac3f3b85fd94ea9ad5a880503a17eab?sid=b15d3378-1893-486d-ba15-9bee2a319223	9/29/2024	breck
49	https://storia.ai/	Storia AI	https://www.loom.com/embed/91eeeef1b3db437ea60418daa1aadf1a?sid=c446f795-2ace-4652-abd1-a4d84d361158	9/28/2024	breck
50	https://www.codeviz.ai/	CodeViz	https://www.loom.com/embed/aab68abb578e4516bff9472c6c472fcd?sid=0d3508af-571b-4448-9fec-48f62dd0a1fe	9/27/2024	breck
51	https://chianglab.bio/2024/09/26/spatial-technologies-of-the-future/	Spatial technologies of the future	https://www.loom.com/embed/d9ad5161724d494090576a927dc5fcb8?sid=c54f8003-5dbc-40ab-b353-455653132ffb	9/27/2024	breck
52	https://www.afterfeedback.com/	The Feedback Loop	https://www.youtube.com/embed/AJSujlcDJXw?si=5eHP4KihMMQl6pY5	9/27/2024	breck
53	https://www.arcade.ai/	Arcade.ai: Turn your thoughts into things	https://www.youtube.com/embed/LEpmUSCdAEc?si=cOBug8LUp_yolQpN	9/27/2024	breck
54	https://www.youtube.com/@keeptalkingpod	Keep Talking Newsletter	https://www.loom.com/embed/8b783e9fe5b34a34b7b37d089eb71e9c?sid=62fd93a6-1025-44d7-973d-3936289db13d	9/27/2024	breck
55	https://www.snowpilot.com/	Snowpilot	https://www.loom.com/embed/d789de706c334cbfa4904ce862dfc46b?sid=ec558a6c-451a-4a92-89fa-ae2578129602	9/26/2024	breck
56	https://www.synnaxlabs.com/	Synnax Labs	https://www.loom.com/embed/b4e86574742a4882b18113143c942bae?sid=c9f91ea1-e125-4c37-aeae-2e56adfff1a0	9/26/2024	breck
57	https://launchgrid.blitlabs.com/	Launchgrid – Explore Today's Launches Across Product Hunt and Show HN	https://www.loom.com/embed/60dd990025564138b206a13f80441e7f?sid=f4f03bce-05e9-4bdf-a84c-1c2bb3ed5442	9/25/2024	breck
58	https://www.habox.com/	Habox	https://www.youtube.com/embed/AD6NSwHs7OU?si=ML7JXVZwdjMImoa9	9/25/2024	breck
59	https://softwareengineeringhandbook.com/	Software Engineering Handbook – A Guide to Engineering, Life, and More	https://www.loom.com/embed/9f59e3fc516c4a5fb7e82dcf02901104?sid=b1f3652c-a0ee-4a8d-b147-985b6eddab90	9/25/2024	breck
60	https://www.jonashietala.se/blog/2024/09/25/why_i_still_blog_after_15_years/	Why I still blog after 15 years	https://www.youtube.com/embed/UF7fjvE_Lco?si=DIrTdUOBao4AKlzH	9/25/2024	breck
61	https://supergrow.ai	Supergrow: Grow your audience on LinkedIn	https://www.youtube.com/embed/qvAJnxqav1I?si=ZpSN3X2j0OO6CN2d	9/24/2024	breck
62	https://clipchamp.com/	Clip Champ	https://www.youtube.com/embed/kx5WoMB1xXI?si=4HKIEIPzO0lubr1V	9/24/2024	breck
63	https://github.com/torrentg/expr	An expression parser supporting multiple types	https://www.youtube.com/embed/DS5MXJSGgHM?si=s0CMTFVwWg7oGuAm	9/24/2024	breck
64	https://json4u.com	JSON For You – Visualize JSON in graph or table views	https://www.youtube.com/embed/ERpyG_f2gJE?si=ItqT1mPweRQZJ75h	9/24/2024	breck
65	https://news.pub/	BuilderNews	https://www.loom.com/share/9629c883f32b4fa58af29d7a43c3ba27?sid=b980cc28-b225-4e3e-8b3d-7790e376d88e	9/23/2024	hassam
66	https://obsess.life/	GitHub-style heatmap for habit tracking	https://www.youtube.com/embed/Kd0_GsU0hV0?si=BiPyGvOaEpioejr9	9/23/2024	breck
67	https://www.dictaphone.io/	Transcribe Audio Files for Free in Seconds	https://www.youtube.com/embed/nbHNcJXNzkY?si=JN5f3sXUwsOwariZ	9/23/2024	breck
68	https://www.rapidreview.cc/	I made a small platform to collect feedback	https://www.youtube.com/embed/AvdWTwrfysU?si=3ebqups1uRMcg5Fp	9/23/2024	breck
1	https://ebookany.com/	A tool to easily convert any web page into an eBook	https://www.youtube.com/embed/u2_r_44bg5c?si=5wBkAog7YyJ2nfAI	9/22/2024	breck
2	https://nuenki.app/	Nuenki - Learn a language while you browse the web	https://www.loom.com/embed/ff5edd3d420a47aebbd2f1d1b0347405?sid=bfd01d37-08dd-4207-86b0-3fb702fbf4c7	9/22/2024	breck
3	https://jetup.io/exclusive/	Real Senior Dev from $4.9/HR	https://www.youtube.com/embed/sKDvgvb7jC8?si=t7zQfsOLf2AU0RFs	9/22/2024	breck
4	https://www.dirtcheapgold.com/	Dirt Cheap Gold – Find the cheapest gold prices	https://www.loom.com/embed/650a5709c41b4a1a878f49e22eecb4c8?sid=94a44829-bb12-4a47-9d16-a9bfdce16eb0	9/22/2024	steph
5	https://unswt.com/	Unswt – Free AI Sugar Tracker Using Meal Photos	https://www.youtube.com/embed/XKD4U-OVpU0?si=jBXuguN5qr-zDq5o	9/22/2024	breck
